"","Name","prop","sex"
"397","Brooke",0.000433627215635235,"female"
"398","Bethany",0.000433627215635235,"female"
"399","Sadie",0.000433627215635235,"female"
"400","Bernadette",0.000433627215635235,"female"
"401","Traci",0.000422501996222508,"female"
"402","Jody",0.000422501996222508,"female"
"403","Kendra",0.000422501996222508,"female"
"404","Jasmine",0.000422501996222508,"female"
"405","Nichole",0.000422501996222508,"female"
"406","Rachael",0.000422501996222508,"female"
"407","Chelsea",0.000422501996222508,"female"
"408","Mable",0.000422501996222508,"female"
"409","Ernestine",0.000422501996222508,"female"
"410","Muriel",0.000422501996222508,"female"
"411","Marcella",0.000411384100851528,"female"
"412","Elena",0.000411384100851528,"female"
"413","Krystal",0.000411384100851528,"female"
"414","Angelina",0.000411384100851528,"female"
"415","Nadine",0.000400266205480547,"female"
"416","Kari",0.000400266205480547,"female"
"417","Estelle",0.000400266205480547,"female"
"418","Dianna",0.000400266205480547,"female"
"419","Paulette",0.000400266205480547,"female"
"420","Lora",0.000400266205480547,"female"
"421","Mona",0.000389148310109566,"female"
"422","Doreen",0.000389148310109566,"female"
"423","Rosemarie",0.000389148310109566,"female"
"424","Angel",0.000389148310109566,"female"
"425","Desiree",0.000389148310109566,"female"
"426","Antonia",0.000389148310109566,"female"
"427","Hope",0.000378030414738585,"female"
"428","Ginger",0.000378030414738585,"female"
"429","Janis",0.000378030414738585,"female"
"430","Betsy",0.000378030414738585,"female"
"431","Christie",0.000378030414738585,"female"
"432","Freda",0.000378030414738585,"female"
"433","Mercedes",0.000366912519367604,"female"
"434","Meredith",0.000366912519367604,"female"
"435","Lynette",0.000366912519367604,"female"
"436","Teri",0.000366912519367604,"female"
"437","Cristina",0.000366912519367604,"female"
"438","Eula",0.000366912519367604,"female"
"439","Leigh",0.000355794623996624,"female"
"440","Meghan",0.000355794623996624,"female"
"441","Sophia",0.000355794623996624,"female"
"442","Eloise",0.000355794623996624,"female"
"443","Rochelle",0.000355794623996624,"female"
"444","Gretchen",0.000355794623996624,"female"
"445","Cecelia",0.000355794623996624,"female"
"446","Raquel",0.000344676728625643,"female"
"447","Henrietta",0.000344676728625643,"female"
"448","Alyssa",0.000344676728625643,"female"
"449","Jana",0.000344676728625643,"female"
"450","Kelley",0.000344676728625643,"female"
"451","Gwen",0.000344676728625643,"female"
"452","Kerry",0.000344676728625643,"female"
"453","Jenna",0.000333558833254662,"female"
"454","Tricia",0.000333558833254662,"female"
"455","Laverne",0.000333558833254662,"female"
"456","Olive",0.000333558833254662,"female"
"457","Alexis",0.000333558833254662,"female"
"458","Tasha",0.000333558833254662,"female"
"459","Silvia",0.000322440937883681,"female"
"460","Elvira",0.000322440937883681,"female"
"461","Casey",0.000322440937883681,"female"
"462","Delia",0.000322440937883681,"female"
"463","Sophie",0.000322440937883681,"female"
"464","Kate",0.000322440937883681,"female"
"465","Patti",0.000322440937883681,"female"
"466","Lorena",0.000322440937883681,"female"
"467","Kellie",0.000322440937883681,"female"
"468","Sonja",0.000322440937883681,"female"
"469","Lila",0.000322440937883681,"female"
"470","Lana",0.000322440937883681,"female"
"471","Darla",0.000322440937883681,"female"
"472","May",0.000322440937883681,"female"
"473","Mindy",0.000322440937883681,"female"
"474","Essie",0.000322440937883681,"female"
"475","Mandy",0.000322440937883681,"female"
"476","Lorene",0.000311323042512701,"female"
"477","Elsa",0.000311323042512701,"female"
"478","Josefina",0.000311323042512701,"female"
"479","Jeannie",0.000311323042512701,"female"
