"","token","emotion"
"2148","dignity","trust"
"2149","digress","anticipation"
"2150","dike","fear"
"2151","dilapidated","disgust"
"2152","dilapidated","sadness"
"2153","diligence","trust"
"2154","diminish","sadness"
"2155","dinosaur","fear"
"2156","diplomacy","anticipation"
"2157","diplomacy","trust"
"2158","diplomatic","trust"
"2159","dire","disgust"
"2160","dire","fear"
"2161","dire","sadness"
"2162","dire","surprise"
"2163","director","trust"
"2164","dirt","disgust"
"2165","dirty","disgust"
"2166","disability","sadness"
"2167","disable","fear"
"2168","disable","sadness"
"2169","disabled","fear"
"2170","disabled","sadness"
"2171","disagree","anger"
"2172","disagreeing","anger"
"2173","disagreeing","sadness"
"2174","disagreement","anger"
"2175","disagreement","sadness"
"2176","disallowed","anger"
"2177","disallowed","disgust"
"2178","disallowed","fear"
"2179","disallowed","sadness"
"2180","disappear","fear"
"2181","disappoint","anger"
"2182","disappoint","disgust"
"2183","disappoint","sadness"
"2184","disappointed","anger"
"2185","disappointed","disgust"
"2186","disappointed","sadness"
"2187","disappointing","sadness"
"2188","disappointment","disgust"
"2189","disappointment","sadness"
"2190","disapproval","sadness"
"2191","disapprove","anger"
"2192","disapprove","disgust"
"2193","disapprove","fear"
"2194","disapprove","sadness"
"2195","disapproved","anger"
"2196","disapproved","sadness"
"2197","disapproving","anger"
"2198","disapproving","disgust"
"2199","disapproving","sadness"
"2200","disaster","anger"
"2201","disaster","disgust"
"2202","disaster","fear"
"2203","disaster","sadness"
"2204","disaster","surprise"
"2205","disastrous","anger"
"2206","disastrous","fear"
"2207","disastrous","sadness"
"2208","disciple","trust"
"2209","discipline","fear"
"2210","disclaim","anger"
"2211","disclaim","disgust"
"2212","disclaim","trust"
"2213","disclosed","trust"
"2214","discoloration","disgust"
"2215","discolored","disgust"
"2216","discolored","sadness"
"2217","discomfort","sadness"
"2218","disconnect","sadness"
"2219","disconnected","sadness"
"2220","discontent","anger"
"2221","discontent","disgust"
"2222","discontent","fear"
"2223","discontent","sadness"
"2224","discontinuity","disgust"
"2225","discontinuity","fear"
"2226","discontinuity","sadness"
"2227","discord","anger"
"2228","discord","disgust"
"2229","discourage","fear"
"2230","discourage","sadness"
"2231","discreet","anticipation"
"2232","discretion","anticipation"
"2233","discretion","trust"
"2234","discriminate","anger"
"2235","discriminate","sadness"
"2236","discriminating","disgust"
"2237","discrimination","anger"
"2238","discrimination","disgust"
"2239","discrimination","fear"
"2240","discrimination","sadness"
"2241","disdain","anger"
"2242","disdain","disgust"
"2243","disease","anger"
"2244","disease","disgust"
"2245","disease","fear"
"2246","disease","sadness"
"2247","diseased","disgust"
"2248","diseased","fear"
"2249","diseased","sadness"
"2250","disembodied","fear"
"2251","disembodied","sadness"
"2252","disfigured","anger"
"2253","disfigured","disgust"
"2254","disfigured","fear"
"2255","disfigured","sadness"
"2256","disgrace","anger"
"2257","disgrace","disgust"
"2258","disgrace","sadness"
"2259","disgraced","anger"
"2260","disgraced","disgust"
"2261","disgraced","sadness"
"2262","disgraceful","anger"
"2263","disgraceful","disgust"
"2264","disgruntled","anger"
"2265","disgruntled","disgust"
"2266","disgruntled","sadness"
"2267","disgust","anger"
"2268","disgust","disgust"
"2269","disgust","fear"
"2270","disgust","sadness"
"2271","disgusting","anger"
"2272","disgusting","disgust"
"2273","disgusting","fear"
"2274","disheartened","sadness"
"2275","disheartening","sadness"
"2276","dishonest","anger"
"2277","dishonest","disgust"
"2278","dishonest","sadness"
"2279","dishonesty","disgust"
"2280","dishonor","anger"
"2281","dishonor","disgust"
"2282","dishonor","fear"
"2283","dishonor","sadness"
"2284","disillusionment","anger"
"2285","disillusionment","disgust"
"2286","disillusionment","sadness"
"2287","disinformation","anger"
"2288","disinformation","fear"
"2289","disingenuous","disgust"
"2290","disintegrate","disgust"
"2291","disintegrate","fear"
"2292","dislike","anger"
"2293","dislike","disgust"
"2294","disliked","anger"
"2295","disliked","sadness"
"2296","dislocated","anger"
"2297","dislocated","disgust"
"2298","dislocated","fear"
"2299","dislocated","sadness"
"2300","dismal","disgust"
"2301","dismal","fear"
"2302","dismal","sadness"
"2303","dismay","anger"
"2304","dismay","anticipation"
"2305","dismay","fear"
"2306","dismay","sadness"
"2307","dismay","surprise"
"2308","dismemberment","disgust"
"2309","dismemberment","fear"
"2310","dismemberment","sadness"
"2311","dismissal","anger"
"2312","dismissal","disgust"
"2313","dismissal","fear"
"2314","dismissal","sadness"
"2315","dismissal","surprise"
"2316","disobedience","anger"
"2317","disobedience","disgust"
"2318","disobedient","anger"
"2319","disobey","anger"
"2320","disobey","disgust"
"2321","disorder","fear"
"2322","disparage","anger"
"2323","disparage","disgust"
"2324","disparage","sadness"
"2325","disparaging","anger"
"2326","disparaging","disgust"
"2327","disparaging","sadness"
"2328","disparity","anger"
"2329","disparity","disgust"
"2330","disparity","sadness"
"2331","dispassionate","sadness"
"2332","dispel","sadness"
"2333","displaced","anger"
"2334","displaced","fear"
"2335","displaced","sadness"
"2336","displeased","anger"
"2337","displeased","disgust"
"2338","displeased","fear"
"2339","displeased","sadness"
"2340","displeasure","disgust"
"2341","dispose","disgust"
"2342","disposed","anticipation"
"2343","disposed","trust"
"2344","dispossessed","anger"
"2345","dispossessed","fear"
"2346","dispossessed","sadness"
"2347","dispute","anger"
"2348","disqualified","anger"
"2349","disqualified","disgust"
"2350","disqualified","sadness"
"2351","disqualify","sadness"
"2352","disregarded","disgust"
"2353","disreputable","anger"
"2354","disreputable","disgust"
"2355","disreputable","fear"
"2356","disrespect","anger"
"2357","disrespectful","anger"
"2358","disrespectful","disgust"
"2359","disrespectful","fear"
"2360","disrespectful","sadness"
"2361","disruption","anger"
"2362","disruption","fear"
"2363","disruption","surprise"
"2364","dissection","disgust"
"2365","dissension","anger"
"2366","disservice","anger"
"2367","disservice","disgust"
"2368","disservice","sadness"
"2369","dissident","anger"
"2370","dissident","fear"
"2371","dissolution","anger"
"2372","dissolution","fear"
"2373","dissolution","sadness"
"2374","dissolution","surprise"
"2375","dissonance","anger"
"2376","distaste","disgust"
"2377","distasteful","disgust"
"2378","distorted","disgust"
"2379","distracted","anger"
"2380","distracting","anger"
"2381","distracting","anticipation"
"2382","distraught","sadness"
"2383","distress","anger"
"2384","distress","disgust"
"2385","distress","fear"
"2386","distress","sadness"
"2387","distress","surprise"
"2388","distressed","fear"
"2389","distressing","anger"
"2390","distressing","fear"
"2391","distrust","anger"
"2392","distrust","disgust"
"2393","distrust","fear"
"2394","disturbance","anger"
"2395","disturbance","fear"
"2396","disturbance","sadness"
"2397","disturbance","surprise"
"2398","disturbed","anger"
"2399","disturbed","sadness"
"2400","disused","anger"
"2401","ditty","joy"
"2402","divan","trust"
"2403","divergent","surprise"
"2404","diversion","surprise"
"2405","divination","anticipation"
"2406","divorce","anger"
"2407","divorce","disgust"
"2408","divorce","fear"
"2409","divorce","sadness"
"2410","divorce","surprise"
"2411","divorce","trust"
"2412","doctor","trust"
"2413","doctrine","trust"
"2414","dogma","trust"
"2415","doldrums","sadness"
"2416","dole","sadness"
"2417","doll","joy"
"2418","dolor","sadness"
"2419","dolphin","joy"
"2420","dolphin","surprise"
"2421","dolphin","trust"
"2422","dominant","fear"
"2423","dominate","anger"
"2424","dominate","fear"
"2425","domination","anger"
"2426","domination","fear"
"2427","domination","sadness"
"2428","dominion","fear"
"2429","dominion","trust"
"2430","don","trust"
"2431","donkey","disgust"
"2432","doom","fear"
"2433","doomed","fear"
"2434","doomed","sadness"
"2435","doomsday","anger"
"2436","doomsday","anticipation"
"2437","doomsday","disgust"
"2438","doomsday","fear"
"2439","doomsday","sadness"
"2440","doubt","fear"
"2441","doubt","sadness"
"2442","doubt","trust"
"2443","doubtless","trust"
"2444","dove","anticipation"
"2445","dove","joy"
"2446","dove","trust"
"2447","downfall","fear"
"2448","downfall","sadness"
"2449","downright","trust"
"2450","drab","sadness"
"2451","draft","anticipation"
"2452","dragon","fear"
"2453","dread","anticipation"
"2454","dread","fear"
"2455","dreadful","anger"
"2456","dreadful","anticipation"
"2457","dreadful","disgust"
"2458","dreadful","fear"
"2459","dreadful","sadness"
"2460","dreadfully","disgust"
"2461","dreadfully","fear"
"2462","dreadfully","sadness"
"2463","dreadfully","surprise"
"2464","dreary","sadness"
"2465","drivel","disgust"
"2466","drool","disgust"
"2467","drown","fear"
"2468","drown","sadness"
"2469","drugged","sadness"
"2470","drunken","disgust"
"2471","dubious","fear"
"2472","dubious","trust"
"2473","duel","anger"
"2474","duel","anticipation"
"2475","duel","fear"
"2476","dull","sadness"
"2477","dumps","anger"
"2478","dumps","sadness"
"2479","dung","disgust"
"2480","dungeon","fear"
"2481","dupe","anger"
"2482","duplicity","anger"
"2483","durability","trust"
"2484","durable","trust"
"2485","duress","anger"
"2486","duress","disgust"
"2487","duress","fear"
"2488","duress","sadness"
"2489","dutiful","anticipation"
"2490","dutiful","trust"
"2491","dwarfed","fear"
"2492","dwarfed","sadness"
"2493","dying","anger"
"2494","dying","disgust"
"2495","dying","fear"
"2496","dying","sadness"
"2497","dynamic","surprise"
"2498","dysentery","disgust"
"2499","dysentery","sadness"
"2500","eager","anticipation"
"2501","eager","joy"
"2502","eager","surprise"
"2503","eager","trust"
"2504","eagerness","anticipation"
"2505","eagerness","joy"
"2506","eagerness","trust"
"2507","eagle","trust"
"2508","earthquake","anger"
"2509","earthquake","fear"
"2510","earthquake","sadness"
"2511","earthquake","surprise"
"2512","economy","trust"
"2513","ecstasy","anticipation"
"2514","ecstasy","joy"
"2515","ecstatic","anticipation"
"2516","ecstatic","joy"
"2517","ecstatic","surprise"
"2518","edict","fear"
"2519","edification","anticipation"
"2520","edification","joy"
"2521","edification","trust"
"2522","edition","anticipation"
"2523","educational","trust"
"2524","eel","fear"
"2525","effective","trust"
"2526","efficient","anticipation"
"2527","efficient","trust"
"2528","effigy","anger"
"2529","egotistical","disgust"
"2530","egregious","anger"
"2531","egregious","disgust"
"2532","ejaculation","anticipation"
"2533","ejaculation","joy"
"2534","ejaculation","surprise"
"2535","ejaculation","trust"
"2536","elated","joy"
"2537","elbow","anger"
"2538","elder","trust"
"2539","elders","trust"
"2540","elect","trust"
"2541","electorate","trust"
"2542","electric","joy"
"2543","electric","surprise"
"2544","elegance","anticipation"
"2545","elegance","joy"
"2546","elegance","trust"
"2547","elegant","joy"
"2548","elevation","anticipation"
"2549","elevation","fear"
"2550","elevation","joy"
"2551","elevation","trust"
"2552","elf","anger"
"2553","elf","disgust"
"2554","elf","fear"
"2555","elimination","anger"
"2556","elimination","disgust"
"2557","elimination","fear"
"2558","elimination","sadness"
"2559","elite","anticipation"
"2560","elite","joy"
"2561","elite","trust"
"2562","elucidate","trust"
"2563","elusive","surprise"
"2564","emaciated","fear"
"2565","emaciated","sadness"
"2566","emancipation","anticipation"
"2567","emancipation","joy"
"2568","embarrass","sadness"
"2569","embarrassment","fear"
"2570","embarrassment","sadness"
"2571","embarrassment","surprise"
"2572","embolism","fear"
"2573","embolism","sadness"
"2574","embrace","anticipation"
"2575","embrace","joy"
"2576","embrace","surprise"
"2577","embrace","trust"
"2578","emergency","fear"
"2579","emergency","sadness"
"2580","emergency","surprise"
"2581","eminence","trust"
"2582","emphasize","trust"
"2583","employ","trust"
"2584","emptiness","sadness"
"2585","enable","trust"
"2586","enablement","trust"
"2587","enchant","anticipation"
"2588","enchant","joy"
"2589","enchant","surprise"
"2590","enchanted","joy"
"2591","enchanted","trust"
"2592","enchanting","anticipation"
"2593","enchanting","joy"
"2594","encourage","joy"
"2595","encourage","trust"
"2596","encroachment","fear"
"2597","encumbrance","anger"
"2598","encumbrance","fear"
"2599","encumbrance","sadness"
"2600","encyclopedia","trust"
"2601","endanger","anticipation"
"2602","endanger","fear"
"2603","endangered","fear"
"2604","endeavor","anticipation"
"2605","endemic","disgust"
"2606","endemic","fear"
"2607","endemic","sadness"
"2608","endless","anger"
"2609","endless","fear"
"2610","endless","joy"
"2611","endless","sadness"
"2612","endless","trust"
"2613","endocarditis","fear"
"2614","endocarditis","sadness"
"2615","endow","trust"
"2616","endowment","trust"
"2617","enema","disgust"
"2618","enemy","anger"
"2619","enemy","disgust"
"2620","enemy","fear"
"2621","enforce","anger"
"2622","enforce","fear"
"2623","engaged","anticipation"
"2624","engaged","joy"
"2625","engaged","trust"
"2626","engaging","joy"
"2627","engaging","trust"
"2628","engulf","anticipation"
"2629","enigmatic","fear"
"2630","enjoy","anticipation"
"2631","enjoy","joy"
"2632","enjoy","trust"
"2633","enjoying","anticipation"
"2634","enjoying","joy"
"2635","enjoying","trust"
"2636","enlighten","joy"
"2637","enlighten","trust"
"2638","enlightenment","joy"
"2639","enlightenment","trust"
"2640","enliven","joy"
"2641","enliven","surprise"
"2642","enliven","trust"
"2643","enmity","anger"
"2644","enmity","fear"
"2645","enmity","sadness"
"2646","enroll","anticipation"
"2647","enroll","trust"
"2648","ensemble","trust"
"2649","enslaved","anger"
"2650","enslaved","disgust"
"2651","enslaved","fear"
"2652","enslaved","sadness"
"2653","entangled","anger"
"2654","entangled","disgust"
"2655","entangled","fear"
"2656","entangled","sadness"
"2657","entertain","joy"
"2658","entertained","joy"
"2659","entertaining","anticipation"
"2660","entertaining","joy"
"2661","entertainment","anticipation"
"2662","entertainment","joy"
"2663","entertainment","surprise"
"2664","entertainment","trust"
"2665","enthusiasm","anticipation"
"2666","enthusiasm","joy"
"2667","enthusiasm","surprise"
"2668","enthusiast","anticipation"
"2669","enthusiast","joy"
"2670","enthusiast","surprise"
"2671","entrails","disgust"
"2672","entrust","trust"
"2673","epidemic","anger"
"2674","epidemic","anticipation"
"2675","epidemic","disgust"
"2676","epidemic","fear"
"2677","epidemic","sadness"
"2678","epidemic","surprise"
"2679","episcopal","trust"
"2680","epitaph","sadness"
"2681","equality","joy"
"2682","equality","trust"
"2683","eradicate","anger"
"2684","eradication","anger"
"2685","eradication","disgust"
"2686","eradication","fear"
"2687","erase","fear"
"2688","erotic","anticipation"
"2689","erotic","joy"
"2690","erotic","surprise"
"2691","erotic","trust"
"2692","errand","anticipation"
"2693","errand","trust"
"2694","erratic","surprise"
"2695","error","sadness"
"2696","erupt","anger"
"2697","erupt","surprise"
"2698","eruption","anger"
"2699","eruption","fear"
"2700","eruption","surprise"
"2701","escalate","anger"
"2702","escape","anticipation"
"2703","escape","fear"
"2704","escaped","fear"
"2705","eschew","anger"
"2706","eschew","sadness"
"2707","escort","trust"
"2708","establish","trust"
"2709","established","joy"
"2710","esteem","joy"
"2711","esteem","sadness"
"2712","esteem","trust"
"2713","ethereal","fear"
"2714","euthanasia","fear"
"2715","euthanasia","sadness"
"2716","evacuate","fear"
"2717","evade","anger"
"2718","evade","disgust"
"2719","evade","fear"
"2720","evanescence","sadness"
"2721","evanescence","surprise"
"2722","evasion","fear"
"2723","evasion","sadness"
"2724","eventual","anticipation"
"2725","eventuality","anticipation"
"2726","eventuality","fear"
"2727","evergreen","joy"
"2728","evergreen","trust"
"2729","evict","sadness"
"2730","eviction","anger"
"2731","eviction","disgust"
"2732","eviction","fear"
"2733","eviction","sadness"
"2734","evident","trust"
"2735","evil","anger"
"2736","evil","disgust"
"2737","evil","fear"
"2738","evil","sadness"
"2739","exacerbation","anger"
"2740","exacerbation","fear"
"2741","exaggerate","anger"
"2742","exalt","anticipation"
"2743","exalt","joy"
"2744","exalt","trust"
"2745","exaltation","joy"
"2746","exaltation","trust"
"2747","exalted","joy"
"2748","exalted","trust"
"2749","examination","fear"
"2750","examination","surprise"
"2751","exasperation","anger"
"2752","exasperation","disgust"
"2753","excavation","anticipation"
"2754","excavation","surprise"
"2755","exceed","anticipation"
"2756","exceed","joy"
"2757","excel","anticipation"
"2758","excel","joy"
"2759","excel","surprise"
"2760","excel","trust"
"2761","excellence","disgust"
"2762","excellence","joy"
"2763","excellence","trust"
"2764","excellent","joy"
"2765","excellent","trust"
"2766","exchange","trust"
"2767","excitation","anger"
"2768","excitation","anticipation"
"2769","excitation","fear"
"2770","excitation","joy"
"2771","excitation","surprise"
"2772","excite","anger"
"2773","excite","anticipation"
"2774","excite","fear"
"2775","excite","joy"
"2776","excite","surprise"
"2777","excited","anticipation"
"2778","excited","joy"
"2779","excited","surprise"
"2780","excited","trust"
"2781","excitement","anticipation"
"2782","excitement","joy"
"2783","excitement","surprise"
"2784","exciting","anticipation"
"2785","exciting","joy"
"2786","exciting","surprise"
"2787","exclaim","surprise"
"2788","excluded","disgust"
"2789","excluded","sadness"
"2790","excluding","sadness"
"2791","exclusion","disgust"
"2792","exclusion","fear"
"2793","exclusion","sadness"
"2794","excrement","disgust"
"2795","excretion","disgust"
"2796","excruciating","fear"
"2797","execution","anger"
"2798","execution","fear"
"2799","execution","sadness"
"2800","execution","trust"
"2801","executioner","anger"
"2802","executioner","fear"
"2803","executioner","sadness"
"2804","executor","trust"
"2805","exhausted","sadness"
"2806","exhaustion","anticipation"
"2807","exhaustion","sadness"
"2808","exhaustive","trust"
"2809","exhilaration","joy"
"2810","exhilaration","surprise"
"2811","exigent","anticipation"
"2812","exigent","disgust"
"2813","exigent","fear"
"2814","exigent","surprise"
"2815","exile","anger"
"2816","exile","fear"
"2817","exile","sadness"
"2818","exorcism","fear"
"2819","exorcism","sadness"
"2820","expect","anticipation"
"2821","expect","surprise"
"2822","expect","trust"
"2823","expectancy","anticipation"
"2824","expectant","anticipation"
"2825","expectation","anticipation"
"2826","expected","anticipation"
"2827","expecting","anticipation"
"2828","expedient","joy"
"2829","expedient","trust"
"2830","expedition","anticipation"
"2831","expel","anger"
"2832","expel","disgust"
"2833","expel","fear"
"2834","expel","sadness"
"2835","experienced","trust"
"2836","experiment","anticipation"
"2837","experiment","surprise"
"2838","expert","trust"
"2839","expertise","trust"
"2840","expire","sadness"
"2841","explain","trust"
"2842","expletive","anger"
"2843","explode","anger"
"2844","explode","fear"
"2845","explode","sadness"
"2846","explode","surprise"
"2847","explore","anticipation"
"2848","explosion","fear"
"2849","explosion","surprise"
"2850","explosive","anger"
"2851","explosive","anticipation"
"2852","explosive","fear"
"2853","explosive","surprise"
"2854","expose","anticipation"
"2855","expose","fear"
"2856","expulsion","anger"
"2857","expulsion","disgust"
"2858","expulsion","fear"
"2859","expulsion","sadness"
"2860","exquisite","joy"
"2861","exterminate","fear"
"2862","exterminate","sadness"
"2863","extermination","anger"
"2864","extermination","fear"
"2865","extinct","sadness"
"2866","extinguish","anger"
"2867","extrajudicial","fear"
"2868","extricate","anticipation"
"2869","exuberance","joy"
"2870","eyewitness","trust"
"2871","fabrication","trust"
"2872","fact","trust"
"2873","facts","trust"
"2874","faculty","trust"
"2875","faeces","disgust"
"2876","failing","anger"
"2877","failing","anticipation"
"2878","failing","fear"
"2879","failing","sadness"
"2880","failure","disgust"
"2881","failure","fear"
"2882","failure","sadness"
"2883","fain","anticipation"
"2884","fain","joy"
"2885","fain","trust"
"2886","fainting","fear"
"2887","fainting","sadness"
"2888","fainting","surprise"
"2889","fairly","trust"
"2890","faith","anticipation"
"2891","faith","joy"
"2892","faith","trust"
"2893","faithful","trust"
"2894","faithless","sadness"
"2895","fall","sadness"
"2896","fallacious","anger"
"2897","falling","sadness"
"2898","falsehood","anger"
"2899","falsehood","trust"
"2900","falsification","anger"
"2901","falsify","disgust"
"2902","falsity","disgust"
"2903","falter","fear"
"2904","familiar","trust"
"2905","familiarity","anticipation"
"2906","familiarity","joy"
"2907","familiarity","trust"
"2908","famine","sadness"
"2909","fanaticism","fear"
"2910","fancy","anticipation"
"2911","fancy","joy"
"2912","fanfare","anticipation"
"2913","fanfare","joy"
"2914","fanfare","surprise"
"2915","fang","fear"
"2916","fangs","fear"
"2917","farcical","disgust"
"2918","farm","anticipation"
"2919","fasting","sadness"
"2920","fat","disgust"
"2921","fat","sadness"
"2922","fatal","anger"
"2923","fatal","fear"
"2924","fatal","sadness"
"2925","fatality","fear"
"2926","fatality","sadness"
"2927","fate","anticipation"
"2928","father","trust"
"2929","fatigued","sadness"
"2930","fatty","disgust"
"2931","fatty","sadness"
"2932","fault","sadness"
"2933","faultless","trust"
"2934","favorable","anticipation"
"2935","favorable","joy"
"2936","favorable","surprise"
"2937","favorable","trust"
"2938","favorite","joy"
"2939","favorite","trust"
"2940","fear","anger"
"2941","fear","fear"
"2942","fearful","fear"
"2943","fearful","sadness"
"2944","fearfully","fear"
"2945","fearfully","sadness"
"2946","fearfully","surprise"
"2947","fearing","fear"
"2948","fearless","fear"
"2949","feat","anticipation"
"2950","feat","joy"
"2951","feat","surprise"
"2952","fecal","disgust"
"2953","feces","disgust"
"2954","fee","anger"
"2955","feeble","sadness"
"2956","feeling","anger"
"2957","feeling","anticipation"
"2958","feeling","disgust"
"2959","feeling","fear"
"2960","feeling","joy"
"2961","feeling","sadness"
"2962","feeling","surprise"
"2963","feeling","trust"
"2964","felicity","joy"
"2965","fell","sadness"
"2966","fellow","trust"
"2967","felon","fear"
"2968","fenced","anger"
"2969","fender","trust"
"2970","ferment","anticipation"
"2971","fermentation","anticipation"
"2972","ferocious","anger"
"2973","ferocious","disgust"
"2974","ferocious","fear"
"2975","ferocity","anger"
"2976","fervor","anger"
"2977","fervor","joy"
"2978","festival","anticipation"
"2979","festival","joy"
"2980","festival","surprise"
"2981","festive","joy"
"2982","fete","anticipation"
"2983","fete","joy"
"2984","fete","surprise"
"2985","feud","anger"
"2986","feudalism","anger"
"2987","feudalism","sadness"
"2988","fever","fear"
"2989","fib","anger"
"2990","fidelity","joy"
"2991","fidelity","trust"
"2992","fiend","anger"
"2993","fiend","disgust"
"2994","fiend","fear"
"2995","fierce","anger"
"2996","fierce","disgust"
"2997","fierce","fear"
"2998","fiesta","anticipation"
"2999","fiesta","joy"
"3000","fiesta","surprise"
"3001","fiesta","trust"
"3002","fight","anger"
"3003","fight","fear"
"3004","fighting","anger"
"3005","fill","trust"
"3006","filth","disgust"
"3007","filthy","disgust"
"3008","finally","anticipation"
"3009","finally","disgust"
"3010","finally","joy"
"3011","finally","surprise"
"3012","finally","trust"
"3013","fire","fear"
"3014","firearms","anger"
"3015","firearms","fear"
"3016","fireman","trust"
"3017","firmness","trust"
"3018","firstborn","anticipation"
"3019","firstborn","joy"
"3020","firstborn","trust"
"3021","fits","anger"
"3022","fitting","anticipation"
"3023","fitting","joy"
"3024","fitting","trust"
"3025","fixed","trust"
"3026","flabby","disgust"
"3027","flaccid","sadness"
"3028","flagrant","anger"
"3029","flagrant","disgust"
"3030","flagship","trust"
"3031","flange","trust"
"3032","flattering","joy"
"3033","flatulence","disgust"
"3034","flaw","sadness"
"3035","flea","disgust"
"3036","fled","fear"
"3037","flee","fear"
"3038","fleece","anger"
"3039","fleece","disgust"
"3040","fleece","sadness"
"3041","flesh","disgust"
"3042","flinch","anticipation"
"3043","flinch","disgust"
"3044","flinch","fear"
"3045","flinch","sadness"
"3046","flinch","surprise"
"3047","flirt","anticipation"
"3048","flirt","joy"
"3049","flirt","surprise"
"3050","flirt","trust"
"3051","flog","anger"
"3052","flog","disgust"
"3053","flog","fear"
"3054","flog","sadness"
"3055","flood","fear"
"3056","flop","disgust"
"3057","flop","sadness"
"3058","flounder","fear"
"3059","flounder","sadness"
"3060","flu","fear"
"3061","fluctuation","anger"
"3062","fluctuation","fear"
"3063","fluke","surprise"
"3064","flying","fear"
"3065","foe","anger"
"3066","foe","fear"
"3067","follower","trust"
"3068","fondness","joy"
"3069","food","joy"
"3070","food","trust"
"3071","fool","disgust"
"3072","football","anticipation"
"3073","football","joy"
"3074","footing","trust"
"3075","foray","anger"
"3076","forbid","sadness"
"3077","forbidding","anger"
"3078","forbidding","fear"
"3079","force","anger"
"3080","force","fear"
"3081","forced","fear"
"3082","forcibly","anger"
"3083","forcibly","fear"
"3084","forearm","anger"
"3085","forearm","anticipation"
"3086","foreboding","anticipation"
"3087","foreboding","fear"
"3088","forecast","anticipation"
"3089","forecast","trust"
"3090","foreclose","fear"
"3091","foreclose","sadness"
"3092","forefathers","joy"
"3093","forefathers","trust"
"3094","foreigner","fear"
"3095","foresee","anticipation"
"3096","foresee","surprise"
"3097","foresee","trust"
"3098","foreseen","anticipation"
"3099","foresight","anticipation"
"3100","foresight","trust"
"3101","forewarned","anticipation"
"3102","forewarned","fear"
"3103","forfeit","anger"
"3104","forfeit","sadness"
"3105","forfeiture","fear"
"3106","forfeiture","sadness"
"3107","forgiving","trust"
"3108","forgotten","fear"
"3109","forgotten","sadness"
"3110","forlorn","sadness"
"3111","formality","trust"
"3112","formative","trust"
"3113","formidable","fear"
"3114","forming","anticipation"
"3115","formula","trust"
"3116","forsake","sadness"
"3117","forsaken","anger"
"3118","forsaken","sadness"
"3119","fort","trust"
"3120","fortitude","joy"
"3121","fortitude","trust"
"3122","fortress","fear"
"3123","fortress","sadness"
"3124","fortress","trust"
"3125","fortune","anticipation"
"3126","fortune","joy"
"3127","fortune","surprise"
"3128","fortune","trust"
"3129","foul","anger"
"3130","foul","disgust"
"3131","foul","fear"
"3132","found","joy"
"3133","found","trust"
"3134","fragile","fear"
"3135","fragile","sadness"
"3136","frailty","sadness"
"3137","framework","trust"
"3138","frank","trust"
"3139","frankness","trust"
"3140","frantic","anticipation"
"3141","frantic","disgust"
"3142","frantic","fear"
"3143","frantic","surprise"
"3144","fraternal","joy"
"3145","fraternal","trust"
"3146","fraud","anger"
"3147","fraudulent","anger"
"3148","fraudulent","disgust"
"3149","fraught","fear"
"3150","fraught","sadness"
"3151","frayed","sadness"
"3152","freakish","disgust"
"3153","freakish","fear"
"3154","freakish","surprise"
"3155","freedom","joy"
"3156","freedom","trust"
"3157","freely","joy"
"3158","freely","trust"
"3159","frenetic","anger"
"3160","frenetic","fear"
"3161","frenetic","surprise"
"3162","frenzied","anger"
"3163","frenzied","fear"
"3164","fret","fear"
"3165","friction","anger"
"3166","friend","joy"
"3167","friend","trust"
"3168","friendliness","joy"
"3169","friendliness","trust"
"3170","friendly","anticipation"
"3171","friendly","joy"
"3172","friendly","trust"
"3173","friendship","joy"
"3174","friendship","trust"
"3175","frigate","fear"
"3176","fright","fear"
"3177","fright","surprise"
"3178","frighten","fear"
"3179","frighten","sadness"
"3180","frighten","surprise"
"3181","frightened","fear"
"3182","frightened","surprise"
"3183","frightful","anger"
"3184","frightful","fear"
"3185","frightful","sadness"
"3186","frisky","anticipation"
"3187","frisky","joy"
"3188","frisky","surprise"
"3189","frolic","joy"
"3190","frown","sadness"
"3191","frowning","anger"
"3192","frowning","disgust"
"3193","frowning","sadness"
"3194","fruitless","sadness"
"3195","frustrate","anger"
"3196","frustrate","disgust"
"3197","frustrate","sadness"
"3198","frustrated","anger"
"3199","frustration","anger"
"3200","fugitive","anger"
"3201","fugitive","disgust"
"3202","fugitive","fear"
"3203","fugitive","sadness"
"3204","fugitive","trust"
"3205","fulfill","joy"
"3206","fulfillment","anticipation"
"3207","fulfillment","joy"
"3208","fulfillment","trust"
"3209","fully","trust"
"3210","fuming","anger"
"3211","fun","anticipation"
"3212","fun","joy"
"3213","fundamental","trust"
"3214","funeral","sadness"
"3215","fungus","disgust"
"3216","funk","sadness"
"3217","furious","anger"
"3218","furious","disgust"
"3219","furiously","anger"
"3220","furnace","anger"
"3221","furor","anger"
"3222","furrow","sadness"
"3223","fury","anger"
"3224","fury","fear"
"3225","fury","sadness"
"3226","fuse","trust"
"3227","fuss","anger"
"3228","fuss","sadness"
"3229","fussy","disgust"
"3230","futile","sadness"
"3231","gaby","disgust"
"3232","gag","disgust"
"3233","gage","trust"
"3234","gain","anticipation"
"3235","gain","joy"
"3236","gall","anger"
"3237","gall","disgust"
"3238","gallows","anger"
"3239","gallows","fear"
"3240","gallows","sadness"
"3241","gambler","anticipation"
"3242","gambler","surprise"
"3243","gambling","anticipation"
"3244","gambling","surprise"
"3245","gang","anger"
"3246","gang","fear"
"3247","gape","surprise"
